t_ms,clip_id,ax,ay,az,gx,gy,gz,label
18144,1,0.868042,-0.483154,0.169189,14.404297,-1.831055,-0.671387,circulos
18154,1,0.862915,-0.504883,0.168213,13.427734,-1.586914,-0.244141,circulos
18164,1,0.859619,-0.515259,0.163818,12.695313,-1.464844,1.159668,circulos
18174,1,0.856812,-0.516113,0.162231,12.390137,-1.159668,2.502441,circulos
18186,1,0.852539,-0.517578,0.162354,13.183594,-0.427246,4.333496,circulos
18196,1,0.865356,-0.498291,0.158203,14.343262,-0.061035,5.432129,circulos
18206,1,0.869263,-0.495117,0.160645,14.892578,0.549316,5.92041,circulos
18216,1,0.868286,-0.493164,0.159424,15.319824,1.342773,6.103516,circulos
18225,1,0.863403,-0.492187,0.152344,15.136719,1.708984,6.164551,circulos
18234,1,0.850708,-0.487671,0.139404,14.587402,1.403809,7.69043,circulos
18256,1,0.842285,-0.477539,0.121094,14.831543,2.380371,9.216309,circulos
18268,1,0.830078,-0.473145,0.116333,13.671875,2.563477,10.681152,circulos
18279,1,0.822144,-0.465454,0.094971,10.803223,1.647949,13.73291,circulos
18290,1,0.825562,-0.474121,0.095093,10.009766,1.098633,14.770508,circulos
18300,1,0.821167,-0.483154,0.094849,9.58252,0.427246,15.075684,circulos
18310,1,0.818359,-0.47876,0.09375,10.131836,-0.610352,14.709473,circulos
18321,1,0.828125,-0.465698,0.090576,12.878418,-2.075195,13.48877,circulos
18332,1,0.831055,-0.46521,0.091797,13.61084,-2.441406,13.061523,circulos
18343,1,0.830811,-0.471802,0.092529,13.73291,-2.868652,13.366699,circulos
18354,1,0.830322,-0.470459,0.089966,13.305664,-4.02832,14.831543,circulos
18365,1,0.833252,-0.481201,0.08728,14.038086,-4.455566,15.014648,circulos
18377,1,0.831421,-0.481323,0.087769,14.526367,-4.943848,15.136719,circulos
18388,1,0.828857,-0.478516,0.088745,15.319824,-5.79834,30.822754,circulos
18399,1,0.838379,-0.473999,0.092773,15.197754,-8.178711,16.906738,circulos
18410,1,0.841675,-0.478271,0.099854,14.221191,-9.399414,18.005371,circulos
18421,1,0.845703,-0.477173,0.112549,13.183594,-10.742188,19.40918,circulos
18431,1,0.858887,-0.483398,0.138794,12.695313,-12.145996,21.728516,circulos
18442,1,0.873657,-0.469727,0.147461,14.038086,-12.268066,21.911621,circulos
18454,1,0.894897,-0.460815,0.164307,16.601562,-12.878418,20.690918,circulos
18465,1,0.914185,-0.442383,0.183472,21.606445,-11.352539,15.74707,circulos
18476,1,0.951782,-0.443481,0.190186,23.620605,-9.94873,12.878418,circulos
18488,1,0.957275,-0.442017,0.185547,24.353027,-8.178711,11.108398,circulos
18500,1,0.975586,-0.478271,0.177979,23.681641,-6.164551,9.033203,circulos
18510,1,1.00415,-0.499512,0.180786,22.216797,-5.554199,8.117676,circulos
