t_ms,clip_id,ax,ay,az,gx,gy,gz,label
3049,1,-0.042236,0.00354,1.024292,0.976562,1.037598,0.976562,quieto_mesa
3058,1,-0.042725,0.003418,1.027588,1.037598,0.976562,1.098633,quieto_mesa
3068,1,-0.043335,0.003784,1.026978,1.037598,1.037598,1.037598,quieto_mesa
3078,1,-0.04187,0.003906,1.025269,1.159668,0.976562,0.976562,quieto_mesa
3088,1,-0.041748,0.005127,1.014282,1.159668,1.098633,1.037598,quieto_mesa
3098,1,-0.043823,0.002319,1.028687,1.159668,1.159668,1.098633,quieto_mesa
3108,1,-0.043335,0.004761,1.02356,1.159668,1.037598,0.976562,quieto_mesa
3118,1,-0.042969,0.00354,1.029663,1.098633,0.915527,1.098633,quieto_mesa
3128,1,-0.042358,0.005127,1.020386,1.037598,1.037598,0.915527,quieto_mesa
3138,1,-0.04187,0.004517,1.021362,0.976562,1.037598,0.854492,quieto_mesa
3148,1,-0.042236,0.004761,1.025513,0.976562,1.037598,1.037598,quieto_mesa
3159,1,-0.041626,0.004883,1.02002,1.037598,1.098633,0.976562,quieto_mesa
3168,1,-0.042236,0.003418,1.022949,1.037598,1.159668,1.159668,quieto_mesa
3179,1,-0.042236,0.004761,1.021973,1.098633,0.976562,1.098633,quieto_mesa
3189,1,-0.042358,0.00293,1.022705,1.220703,0.915527,0.976562,quieto_mesa
3198,1,-0.041748,0.003906,1.021362,1.098633,1.098633,0.976562,quieto_mesa
3208,1,-0.042358,0.003052,1.022827,1.098633,1.037598,0.915527,quieto_mesa
3219,1,-0.041992,0.004028,1.022217,1.037598,0.854492,1.037598,quieto_mesa
3229,1,-0.042236,0.003052,1.023315,0.976562,1.037598,0.976562,quieto_mesa
3239,1,-0.04248,0.003906,1.020874,1.037598,0.976562,0.976562,quieto_mesa
3249,1,-0.04187,0.003296,1.022339,0.854492,1.159668,1.159668,quieto_mesa
3259,1,-0.042725,0.003662,1.023926,0.976562,1.098633,1.037598,quieto_mesa
3269,1,-0.042847,0.003906,1.020874,1.098633,0.976562,1.037598,quieto_mesa
3279,1,-0.041504,0.003296,1.023804,1.098633,0.793457,1.037598,quieto_mesa
3289,1,-0.042358,0.004517,1.021851,1.037598,0.854492,1.037598,quieto_mesa
3299,1,-0.041992,0.004272,1.022095,1.037598,1.037598,1.037598,quieto_mesa
3309,1,-0.042847,0.003906,1.022217,1.220703,0.976562,1.098633,quieto_mesa
3319,1,-0.041382,0.004272,1.022949,1.159668,0.915527,1.037598,quieto_mesa
3329,1,-0.042603,0.004272,1.02124,1.037598,1.098633,0.915527,quieto_mesa
3339,1,-0.042358,0.00354,1.022461,1.098633,0.976562,0.976562,quieto_mesa
3349,1,-0.04248,0.004395,1.022461,0.915527,1.159668,0.976562,quieto_mesa
3359,1,-0.042358,0.004272,1.022339,1.159668,1.037598,0.915527,quieto_mesa
3371,1,-0.042114,0.003662,1.023315,1.220703,0.976562,1.098633,quieto_mesa
3380,1,-0.041504,0.003662,1.021606,1.037598,0.976562,0.976562,quieto_mesa
3400,1,-0.042725,0.004028,1.021729,1.098633,0.915527,0.854492,quieto_mesa
3409,1,-0.042603,0.00354,1.022461,1.220703,0.854492,1.037598,quieto_mesa
3419,1,-0.042358,0.00415,1.022217,1.159668,0.793457,1.098633,quieto_mesa
3429,1,-0.04248,0.003296,1.022583,1.037598,0.976562,1.037598,quieto_mesa
3450,1,-0.042725,0.004761,1.022095,1.159668,0.976562,0.854492,quieto_mesa
3459,1,-0.041016,0.004028,1.022827,1.159668,0.976562,0.793457,quieto_mesa
3471,1,-0.042603,0.003418,1.022217,1.159668,0.915527,0.915527,quieto_mesa
3480,1,-0.042358,0.003906,1.022095,1.159668,1.037598,1.098633,quieto_mesa
3489,1,-0.043091,0.004272,1.023071,1.159668,0.915527,1.037598,quieto_mesa
3499,1,-0.041992,0.003296,1.022461,1.220703,0.915527,0.976562,quieto_mesa
3509,1,-0.042114,0.003906,1.022583,1.098633,0.915527,0.976562,quieto_mesa
3520,1,-0.042603,0.004272,1.022461,1.037598,0.854492,0.915527,quieto_mesa
3531,1,-0.042358,0.004028,1.023193,0.915527,0.854492,0.976562,quieto_mesa
3541,1,-0.043579,0.003662,1.022339,1.159668,1.037598,0.854492,quieto_mesa
3550,1,-0.042603,0.003296,1.022095,1.098633,0.976562,0.976562,quieto_mesa
3560,1,-0.041626,0.00354,1.021851,1.098633,0.915527,0.854492,quieto_mesa
3570,1,-0.042236,0.003418,1.021484,1.159668,0.915527,0.915527,quieto_mesa
3580,1,-0.042847,0.004272,1.022461,1.159668,0.976562,0.793457,quieto_mesa
3590,1,-0.042358,0.003174,1.022095,1.037598,1.037598,0.976562,quieto_mesa
3610,1,-0.041626,0.004028,1.022461,1.037598,1.098633,0.854492,quieto_mesa
